A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,0,.,8,0,2,2,9,7,5,9,2,1,6,3,0,8,6
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,2,.,8,3,3,6,6,2,9,8,6,7,5,5,3,7
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,4,.,0,6,1,9,1,1,2,6,5,0,5,5,3,4
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,4,.,1,8,2,2,7,6,2,4,8,9,3,1,8,8,5
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,6,0,0,6,1,1,1,1,4,5,0,1,9,5
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,2,.,7,0,9,2,3,9,6,4,1,8,2,5,3,6
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,2,.,6,9,3,5,5,9,6,4,6,6,0,6,4,4,5
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,1,.,4,1,0,9,6,5,8,0,0,2,8,5,3,4
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,2,.,2,5,0,3,5,4,2,3,7,0,2,6,6,3,8
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,2,.,1,2,6,4,8,2,1,0,5,2,5,5,1,3
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,1,8,9,8,6,3,4,6,5,0,4,9,0,5
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,2,.,9,3,9,4,0,8,0,6,3,8,8,8,5,5
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,1,6,6,1,1,1,0,6,5,7,9,1,2,0,3
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,3,6,5,8,1,7,0,0,1,8,8,7,7,3
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,1,7,6,1,3,5,8,2,6,1,1,0,8,4
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,3,1,4,4,6,9,6,3,5,4,8,6,6,0,3
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,4,7,5,8,1,7,1,1,9,3,7,3,9,9,6
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,2,8,9,3,1,1,0,3,8,1,2,3,2,3,8
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,7,7,7,6,3,2,8,1,3,7,0,4,6,4,2
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,4,.,0,0,5,7,2,6,2,8,9,7,4,9,1,4,5
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,9,2,9,1,4,3,1,3,3,6,1,7,5,8,3
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,4,.,1,0,1,0,0,9,0,6,5,4,5,4,6,5,8
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,4,.,1,0,5,4,2,2,2,6,8,7,4,3,1
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,7,5,9,5,5,4,3,8,6,1,3,8,9,1,6
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,8,7,4,3,1,6,1,7,7,3,6,8,1,6,5
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,5,0,9,1,4,8,5,2,4,3,5,7,7,2,3
A,v,e,r,a,g,e, ,g,e,n,r,e, ,c,l,i,p,-,s,i,m,i,l,a,r,i,t,y, ,s,c,o,r,e,:,2,3,.,4,8,1,8,7,5,1,7,2,3,6,7,8,0,4
